,precision,recall,f1-score,support
0.0,0.17898832684824903,0.7666666666666667,0.2902208201892745,60.0
1.0,0.6703296703296703,0.3652694610778443,0.4728682170542636,334.0
2.0,0.5432098765432098,0.2732919254658385,0.36363636363636365,161.0
3.0,0.3375,0.6,0.43200000000000005,45.0
accuracy,0.3983333333333333,0.3983333333333333,0.3983333333333333,0.3983333333333333
macro avg,0.43250696843028225,0.5013070133025874,0.3896813502199754,600.0
weighted avg,0.562122832707436,0.3983333333333333,0.42222781375489177,600.0
