,precision,recall,f1-score,support
0.0,0.5013774104683195,0.7947598253275109,0.6148648648648649,229.0
1.0,0.3950617283950617,0.2909090909090909,0.3350785340314136,220.0
2.0,0.49019607843137253,0.20491803278688525,0.28901734104046245,122.0
3.0,0.375,0.3103448275862069,0.339622641509434,29.0
accuracy,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
macro avg,0.44040880432368845,0.4002329441524235,0.3946458453615437,600.0
weighted avg,0.45401321468797695,0.4666666666666667,0.4327175062527917,600.0
