,precision,recall,f1-score,support
0.0,0.6778523489932886,0.4950980392156863,0.5722379603399433,204.0
1.0,0.5983827493261455,0.7449664429530202,0.6636771300448431,298.0
2.0,0.4,0.27586206896551724,0.32653061224489793,87.0
3.0,0.25,0.45454545454545453,0.3225806451612903,11.0
accuracy,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667
macro avg,0.4815587745798585,0.4926180014199196,0.47125658694774364,600.0
weighted avg,0.5902498974897038,0.5866666666666667,0.5774481317079867,600.0
