,precision,recall,f1-score,support
0.0,0.6854838709677419,0.4336734693877551,0.5312499999999999,196.0
1.0,0.758695652173913,0.8994845360824743,0.8231132075471699,388.0
accuracy,0.7431506849315068,0.7431506849315068,0.7431506849315068,0.7431506849315068
macro avg,0.7220897615708275,0.6665790027351146,0.6771816037735849,584.0
weighted avg,0.734124574919787,0.7431506849315068,0.7251591173429826,584.0
