,precision,recall,f1-score,support
0.0,0.6854838709677419,0.4336734693877551,0.5312499999999999,196.0
1.0,0.5947521865889213,0.7058823529411765,0.6455696202531646,289.0
2.0,0.34146341463414637,0.3146067415730337,0.3274853801169591,89.0
3.0,0.2,0.7,0.3111111111111111,10.0
accuracy,0.5547945205479452,0.5547945205479452,0.5547945205479452,0.5547945205479452
macro avg,0.4554248680477024,0.5385406409754914,0.45385402787030865,584.0
weighted avg,0.5798432611923197,0.5547945205479452,0.5529998804703511,584.0
