,precision,recall,f1-score,support
0.0,0.4494047619047619,0.8206521739130435,0.5807692307692308,184.0
1.0,0.40718562874251496,0.3090909090909091,0.35142118863049093,220.0
2.0,0.47058823529411764,0.18181818181818182,0.26229508196721313,132.0
3.0,0.6,0.375,0.4615384615384615,48.0
accuracy,0.4469178082191781,0.4469178082191781,0.4469178082191781,0.4469178082191781
macro avg,0.4817946564853487,0.4216403162055336,0.4140059907263491,584.0
weighted avg,0.45066603009015926,0.4469178082191781,0.4125873235167205,584.0
