,precision,recall,f1-score,support
0.0,0.7650429799426934,0.7970149253731343,0.7807017543859649,335.0
1.0,0.7106382978723405,0.6706827309236948,0.6900826446280992,249.0
accuracy,0.7431506849315068,0.7431506849315068,0.7431506849315068,0.7431506849315068
macro avg,0.7378406389075169,0.7338488281484146,0.735392199507032,584.0
weighted avg,0.7418464631010531,0.7431506849315068,0.7420644969720804,584.0
