,precision,recall,f1-score,support
0.0,0.19545454545454546,0.6935483870967742,0.30496453900709225,62.0
1.0,0.6941176470588235,0.3710691823899371,0.48360655737704916,318.0
2.0,0.5056179775280899,0.2777777777777778,0.35856573705179284,162.0
3.0,0.3142857142857143,0.7857142857142857,0.44897959183673464,42.0
accuracy,0.4092465753424658,0.4092465753424658,0.4092465753424658,0.4092465753424658
macro avg,0.4273689710817933,0.5320274082446936,0.39902910631816724,584.0
weighted avg,0.561571414284997,0.4092465753424658,0.4274648611710183,584.0
