,precision,recall,f1-score,support
0.0,0.6363636363636364,0.5447470817120622,0.5870020964360586,257.0
1.0,0.4764705882352941,0.3347107438016529,0.3932038834951457,242.0
2.0,0.2247191011235955,0.2702702702702703,0.24539877300613497,74.0
3.0,0.08571428571428572,0.8181818181818182,0.15517241379310345,11.0
accuracy,0.4280821917808219,0.4280821917808219,0.4280821917808219,0.4280821917808219
macro avg,0.3558169028592029,0.4919774784914509,0.3451942916826107,584.0
weighted avg,0.5075743279527378,0.4280821917808219,0.4552761718220384,584.0
