,precision,recall,f1-score,support
0.0,0.7470238095238095,0.7404129793510325,0.7437037037037036,339.0
1.0,0.32934131736526945,0.3716216216216216,0.34920634920634924,148.0
2.0,0.21568627450980393,0.14666666666666667,0.1746031746031746,75.0
3.0,0.23333333333333334,0.3181818181818182,0.2692307692307693,22.0
accuracy,0.5547945205479452,0.5547945205479452,0.5547945205479452,0.5547945205479452
macro avg,0.38134618368305406,0.3942207714552847,0.38418599918599916,584.0
weighted avg,0.5535845724660958,0.5547945205479452,0.5527678257815244,584.0
