,precision,recall,f1-score,support
0.0,0.7871720116618076,0.7180851063829787,0.7510431154381085,376.0
1.0,0.36363636363636365,0.34285714285714286,0.3529411764705882,175.0
2.0,0.14814814814814814,0.18181818181818182,0.16326530612244897,44.0
3.0,0.10526315789473684,0.8,0.18604651162790697,5.0
accuracy,0.57,0.57,0.57,0.57
macro avg,0.3510549203352641,0.5106901077645759,0.3633240274147632,600.0
weighted avg,0.6110964572153259,0.57,0.5871180388576818,600.0
