,precision,recall,f1-score,support
0.0,0.19444444444444445,0.7368421052631579,0.3076923076923077,57.0
1.0,0.6863905325443787,0.36942675159235666,0.4803312629399586,314.0
2.0,0.5212765957446809,0.2692307692307692,0.3550724637681159,182.0
3.0,0.3140495867768595,0.8085106382978723,0.45238095238095244,47.0
accuracy,0.4083333333333333,0.4083333333333333,0.4083333333333333,0.4083333333333333
macro avg,0.42904028987759085,0.546002566096039,0.39886924669533363,600.0
weighted avg,0.5604043859271877,0.4083333333333333,0.42374595211551735,600.0
