,precision,recall,f1-score,support
0.0,0.25,0.5346534653465347,0.34069400630914826,101.0
1.0,0.6627218934911243,0.33633633633633636,0.4462151394422312,333.0
2.0,0.35106382978723405,0.2323943661971831,0.2796610169491525,142.0
3.0,0.17355371900826447,0.875,0.28965517241379307,24.0
accuracy,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664
macro avg,0.35933486057165576,0.4945960419700135,0.33905633377858124,600.0
weighted avg,0.49992123936421656,0.36666666666666664,0.3827722076936627,600.0
