,precision,recall,f1-score,support
0.0,0.7670454545454546,0.7988165680473372,0.782608695652174,338.0
1.0,0.6052631578947368,0.5528846153846154,0.577889447236181,208.0
2.0,0.4074074074074074,0.22448979591836735,0.2894736842105263,49.0
3.0,0.16129032258064516,1.0,0.27777777777777773,5.0
accuracy,0.6683333333333333,0.6683333333333333,0.6683333333333333,0.6683333333333333
macro avg,0.485251585607061,0.64404774483758,0.48193740121916473,600.0
weighted avg,0.6765425250905586,0.6683333333333333,0.6671597392846086,600.0
