,precision,recall,f1-score,support
0.0,0.6342592592592593,0.7061855670103093,0.6682926829268293,194.0
1.0,0.6568047337278107,0.43190661478599224,0.5211267605633804,257.0
2.0,0.40425531914893614,0.3140495867768595,0.3534883720930233,121.0
3.0,0.2066115702479339,0.8928571428571429,0.3355704697986577,28.0
accuracy,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333
macro avg,0.475482720595985,0.586249727857576,0.46961957134547266,600.0
weighted avg,0.5775752174138451,0.5183333333333333,0.5262440402170199,600.0
